Class;fClass;A00Amount;A00Amount100;A01Duration;A02Age;A03IRP;A04ResDur;A05NumExCred;A06NumPeopMaint;A07Teleph;A08FrgnWork;A09CheckAccStat;A10History;A11Purpose;A12Savings;A13EmployDurat;A14Personal;A15Gender;A16OtherDebtGuar;A17Property;A18OtherInstallPlan;A19Housing;A20Job;fA07Teleph;fA08FrgnWork;fA09CheckAccStat;fA10History;fA11Purpose;fA12Savings;fA13EmployDurat;fA14Personal;fA15Gender;fA16OtherDebtGuar;fA17Property;fA18OtherInstallPlan;fA19Housing;fA20Job;Training
0;Good;1567;15,67;12;22;1;1;1;1;1;1;2;2;3;0;2;0;0;0;2;2;1;2;Yes;Yes;[0, 200);existing credits paid back duly till now;radio/TV;<100;[1,4);female;female;none;car or other;none;own;skilled employee/official;1
1;Bad;1199;11,99;24;60;4;4;2;1;0;1;1;4;0;0;4;2;1;0;2;2;1;1;No;Yes;<0;critical account/other credits existing (not at this bank);car (new);<100;>=7;male: single;male;none;car or other;none;own;unskilled, resident;0
0;Good;1403;14,03;15;28;2;4;1;1;0;1;1;2;0;0;2;0;0;0;2;2;0;2;No;Yes;<0;existing credits paid back duly till now;car (new);<100;[1,4);female;female;none;car or other;none;rent;skilled employee/official;1
1;Bad;1282;12,82;24;32;4;2;1;1;0;1;1;2;3;1;2;0;0;0;2;2;1;1;No;Yes;<0;existing credits paid back duly till now;radio/TV;[100,500);[1,4);female;female;none;car or other;none;own;unskilled, resident;1
0;Good;2424;24,24;24;53;4;4;2;1;0;1;0;4;3;4;4;2;1;0;1;2;1;2;No;Yes;No;critical account/other credits existing (not at this bank);radio/TV;unknown/no savings account;>=7;male: single;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;1
0;Good;8072;80,72;30;25;2;3;3;1;0;1;1;0;8;4;1;2;1;0;2;0;1;2;No;Yes;<0;no credits taken/all credits paid back duly;business;unknown/no savings account;<1;male: single;male;none;car or other;bank;own;skilled employee/official;0
1;Bad;12579;125,79;24;44;4;2;1;1;1;1;2;2;1;0;4;0;0;0;3;2;2;3;Yes;Yes;[0, 200);existing credits paid back duly till now;car (used);<100;>=7;female;female;none;unknown/no property;none;for free;management/self-employed/highly qualified employee/officer;1
0;Good;3430;34,3;24;31;3;2;1;2;1;1;0;2;3;2;4;2;1;0;2;2;1;2;Yes;Yes;No;existing credits paid back duly till now;radio/TV;[500,1000);>=7;male: single;male;none;car or other;none;own;skilled employee/official;1
0;Good;2134;21,34;9;48;4;4;3;1;1;1;0;4;0;0;2;2;1;0;2;2;1;2;Yes;Yes;No;critical account/other credits existing (not at this bank);car (new);<100;[1,4);male: single;male;none;car or other;none;own;skilled employee/official;1
0;Good;2647;26,47;6;44;2;3;1;2;0;1;1;2;3;2;2;2;1;0;0;2;0;2;No;Yes;<0;existing credits paid back duly till now;radio/TV;[500,1000);[1,4);male: single;male;none;real estate;none;rent;skilled employee/official;1
0;Good;2241;22,41;10;48;1;3;2;2;0;0;1;4;0;0;1;2;1;0;0;2;0;1;No;No;<0;critical account/other credits existing (not at this bank);car (new);<100;<1;male: single;male;none;real estate;none;rent;unskilled, resident;0
0;Good;1804;18,04;12;44;3;4;1;1;0;1;2;4;1;1;1;2;1;0;1;2;1;2;No;Yes;[0, 200);critical account/other credits existing (not at this bank);car (used);[100,500);<1;male: single;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;1
0;Good;2069;20,69;10;26;2;1;2;1;0;0;0;4;2;4;2;3;1;0;2;2;1;2;No;No;No;critical account/other credits existing (not at this bank);furniture/equipment;unknown/no savings account;[1,4);male: married/widowed;male;none;car or other;none;own;skilled employee/official;0
0;Good;1374;13,74;6;36;1;2;1;1;1;1;1;2;2;0;2;2;1;0;0;0;1;1;Yes;Yes;<0;existing credits paid back duly till now;furniture/equipment;<100;[1,4);male: single;male;none;real estate;bank;own;unskilled, resident;1
0;Good;426;4,26;6;39;4;4;1;1;0;1;0;0;3;0;4;3;1;0;2;2;1;1;No;Yes;No;no credits taken/all credits paid back duly;radio/TV;<100;>=7;male: married/widowed;male;none;car or other;none;own;unskilled, resident;1
0;Good;409;4,09;12;42;3;3;2;1;0;1;3;1;3;3;2;0;0;0;0;2;0;2;No;Yes;>=200;all credits at this bank paid back duly;radio/TV;>=1000;[1,4);female;female;none;real estate;none;rent;skilled employee/official;1
0;Good;2415;24,15;7;34;3;2;1;1;0;1;2;2;3;0;2;2;1;2;0;2;1;2;No;Yes;[0, 200);existing credits paid back duly till now;radio/TV;<100;[1,4);male: single;male;guarantor;real estate;none;own;skilled employee/official;0
1;Bad;6836;68,36;60;63;3;4;2;1;1;1;1;3;8;0;4;2;1;0;3;2;1;2;Yes;Yes;<0;delay in paying off in the past;business;<100;>=7;male: single;male;none;unknown/no property;none;own;skilled employee/official;1
0;Good;1913;19,13;18;36;3;3;1;1;1;1;2;2;8;3;1;3;1;0;0;0;1;2;Yes;Yes;[0, 200);existing credits paid back duly till now;business;>=1000;<1;male: married/widowed;male;none;real estate;bank;own;skilled employee/official;0
0;Good;4020;40,2;24;27;2;2;1;1;0;1;1;2;2;0;2;2;1;0;2;1;1;2;No;Yes;<0;existing credits paid back duly till now;furniture/equipment;<100;[1,4);male: single;male;none;car or other;stores;own;skilled employee/official;1
0;Good;5866;58,66;18;30;2;2;2;1;1;1;2;2;0;1;2;2;1;0;2;2;1;2;Yes;Yes;[0, 200);existing credits paid back duly till now;car (new);[100,500);[1,4);male: single;male;none;car or other;none;own;skilled employee/official;0
0;Good;1264;12,64;12;57;4;4;1;1;0;1;0;4;8;4;4;2;1;0;3;2;0;1;No;Yes;No;critical account/other credits existing (not at this bank);business;unknown/no savings account;>=7;male: single;male;none;unknown/no property;none;rent;unskilled, resident;1
0;Good;1474;14,74;12;33;4;1;1;1;1;1;3;2;2;0;1;0;0;0;1;0;1;3;Yes;Yes;>=200;existing credits paid back duly till now;furniture/equipment;<100;<1;female;female;none;building society savings agreement/life insurance;bank;own;management/self-employed/highly qualified employee/officer;0
1;Bad;4746;47,46;45;25;4;2;2;1;0;1;2;4;3;0;1;2;1;0;1;2;1;1;No;Yes;[0, 200);critical account/other credits existing (not at this bank);radio/TV;<100;<1;male: single;male;none;building society savings agreement/life insurance;none;own;unskilled, resident;1
0;Good;6110;61,1;48;31;1;3;1;1;1;1;0;4;6;0;2;2;1;0;3;0;2;2;Yes;Yes;No;critical account/other credits existing (not at this bank);education;<100;[1,4);male: single;male;none;unknown/no property;bank;for free;skilled employee/official;0
1;Bad;2100;21;18;37;4;2;1;1;0;1;3;2;3;0;2;2;1;1;0;1;1;2;No;Yes;>=200;existing credits paid back duly till now;radio/TV;<100;[1,4);male: single;male;co-applicant;real estate;stores;own;skilled employee/official;0
0;Good;1225;12,25;10;37;2;2;1;1;1;1;3;2;4;0;2;2;1;0;2;2;1;2;Yes;Yes;>=200;existing credits paid back duly till now;domestic appliances;<100;[1,4);male: single;male;none;car or other;none;own;skilled employee/official;1
0;Good;458;4,58;9;24;4;3;1;1;0;1;2;2;3;0;2;2;1;0;0;2;1;2;No;Yes;[0, 200);existing credits paid back duly till now;radio/TV;<100;[1,4);male: single;male;none;real estate;none;own;skilled employee/official;1
0;Good;2333;23,33;30;30;4;2;1;1;0;1;0;2;3;2;4;2;1;0;2;0;1;3;No;Yes;No;existing credits paid back duly till now;radio/TV;[500,1000);>=7;male: single;male;none;car or other;bank;own;management/self-employed/highly qualified employee/officer;1
0;Good;1158;11,58;12;26;3;1;1;1;1;1;2;2;3;2;2;1;1;0;2;2;1;2;Yes;Yes;[0, 200);existing credits paid back duly till now;radio/TV;[500,1000);[1,4);male: divorced/separated;male;none;car or other;none;own;skilled employee/official;0
0;Good;6204;62,04;18;44;2;4;1;2;1;1;2;3;5;0;2;2;1;0;0;2;1;1;Yes;Yes;[0, 200);delay in paying off in the past;repairs;<100;[1,4);male: single;male;none;real estate;none;own;unskilled, resident;0
0;Good;6187;61,87;30;24;1;4;2;1;0;1;1;4;1;1;3;3;1;0;2;2;0;2;No;Yes;<0;critical account/other credits existing (not at this bank);car (used);[100,500);[4,7);male: married/widowed;male;none;car or other;none;rent;skilled employee/official;0
1;Bad;6143;61,43;48;58;4;4;2;1;0;1;1;4;1;0;4;0;0;0;3;1;2;1;No;Yes;<0;critical account/other credits existing (not at this bank);car (used);<100;>=7;female;female;none;unknown/no property;stores;for free;unskilled, resident;0
0;Good;1393;13,93;11;35;4;4;2;1;0;1;0;4;0;0;1;0;0;0;2;2;1;3;No;Yes;No;critical account/other credits existing (not at this bank);car (new);<100;<1;female;female;none;car or other;none;own;management/self-employed/highly qualified employee/officer;0
0;Good;2299;22,99;36;39;4;4;1;1;0;1;0;2;3;2;4;2;1;0;2;2;1;2;No;Yes;No;existing credits paid back duly till now;radio/TV;[500,1000);>=7;male: single;male;none;car or other;none;own;skilled employee/official;0
0;Good;1352;13,52;6;23;1;2;1;1;1;1;1;2;1;2;0;0;0;0;1;2;0;0;Yes;Yes;<0;existing credits paid back duly till now;car (used);[500,1000);unemployed;female;female;none;building society savings agreement/life insurance;none;rent;unemployed/unskilled, non-resident;0
0;Good;7228;72,28;11;39;1;4;2;1;0;1;0;4;0;0;2;2;1;0;1;2;1;1;No;Yes;No;critical account/other credits existing (not at this bank);car (new);<100;[1,4);male: single;male;none;building society savings agreement/life insurance;none;own;unskilled, resident;1
0;Good;2073;20,73;12;28;4;2;1;1;0;1;0;2;3;1;2;0;0;1;0;2;1;2;No;Yes;No;existing credits paid back duly till now;radio/TV;[100,500);[1,4);female;female;co-applicant;real estate;none;own;skilled employee/official;1
0;Good;2333;23,33;24;29;4;2;1;1;0;1;2;3;2;4;1;2;1;0;1;0;1;1;No;Yes;[0, 200);delay in paying off in the past;furniture/equipment;unknown/no savings account;<1;male: single;male;none;building society savings agreement/life insurance;bank;own;unskilled, resident;1
0;Good;5965;59,65;27;30;1;2;2;1;1;1;2;3;1;0;4;2;1;0;2;2;1;3;Yes;Yes;[0, 200);delay in paying off in the past;car (used);<100;>=7;male: single;male;none;car or other;none;own;management/self-employed/highly qualified employee/officer;0
0;Good;1262;12,62;12;25;3;2;1;1;0;1;0;2;3;0;2;2;1;0;2;2;1;2;No;Yes;No;existing credits paid back duly till now;radio/TV;<100;[1,4);male: single;male;none;car or other;none;own;skilled employee/official;1
0;Good;3378;33,78;18;31;2;1;1;1;1;1;0;2;1;4;2;2;1;0;1;2;1;2;Yes;Yes;No;existing credits paid back duly till now;car (used);unknown/no savings account;[1,4);male: single;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;0
1;Bad;2225;22,25;36;57;4;4;2;1;1;1;2;3;0;0;4;2;1;0;3;0;2;2;Yes;Yes;[0, 200);delay in paying off in the past;car (new);<100;>=7;male: single;male;none;unknown/no property;bank;for free;skilled employee/official;0
0;Good;783;7,83;6;26;1;2;1;2;0;1;0;1;0;4;2;2;1;2;0;1;1;1;No;Yes;No;all credits at this bank paid back duly;car (new);unknown/no savings account;[1,4);male: single;male;guarantor;real estate;stores;own;unskilled, resident;1
1;Bad;6468;64,68;12;52;2;1;1;1;1;1;2;2;3;4;0;2;1;0;3;2;1;3;Yes;Yes;[0, 200);existing credits paid back duly till now;radio/TV;unknown/no savings account;unemployed;male: single;male;none;unknown/no property;none;own;management/self-employed/highly qualified employee/officer;1
0;Good;9566;95,66;36;31;2;2;2;1;0;1;0;4;3;0;2;0;0;0;2;1;1;2;No;Yes;No;critical account/other credits existing (not at this bank);radio/TV;<100;[1,4);female;female;none;car or other;stores;own;skilled employee/official;0
0;Good;1961;19,61;18;23;3;2;1;1;0;1;3;2;0;0;4;0;0;0;2;2;1;3;No;Yes;>=200;existing credits paid back duly till now;car (new);<100;>=7;female;female;none;car or other;none;own;management/self-employed/highly qualified employee/officer;1
1;Bad;6229;62,29;36;23;4;4;2;1;1;1;1;4;2;0;1;0;0;1;3;2;0;1;Yes;Yes;<0;critical account/other credits existing (not at this bank);furniture/equipment;<100;<1;female;female;co-applicant;unknown/no property;none;rent;unskilled, resident;1
0;Good;1391;13,91;9;27;2;1;1;1;1;1;2;2;8;0;2;3;1;0;0;0;1;2;Yes;Yes;[0, 200);existing credits paid back duly till now;business;<100;[1,4);male: married/widowed;male;none;real estate;bank;own;skilled employee/official;0
0;Good;1537;15,37;15;50;4;4;2;1;1;1;2;4;3;4;4;2;1;2;0;2;1;2;Yes;Yes;[0, 200);critical account/other credits existing (not at this bank);radio/TV;unknown/no savings account;>=7;male: single;male;guarantor;real estate;none;own;skilled employee/official;1
1;Bad;1953;19,53;36;61;4;4;1;1;1;1;2;0;8;0;4;2;1;0;3;2;2;3;Yes;Yes;[0, 200);no credits taken/all credits paid back duly;business;<100;>=7;male: single;male;none;unknown/no property;none;for free;management/self-employed/highly qualified employee/officer;0
1;Bad;14421;144,21;48;25;2;2;1;1;1;1;2;0;8;0;2;2;1;0;2;2;1;2;Yes;Yes;[0, 200);no credits taken/all credits paid back duly;business;<100;[1,4);male: single;male;none;car or other;none;own;skilled employee/official;1
0;Good;3181;31,81;24;26;4;4;1;1;1;1;0;2;3;0;1;0;0;0;1;2;1;2;Yes;Yes;No;existing credits paid back duly till now;radio/TV;<100;<1;female;female;none;building society savings agreement/life insurance;none;own;skilled employee/official;1
0;Good;5190;51,9;27;48;4;4;4;2;1;1;0;2;5;4;4;2;1;0;1;2;1;2;Yes;Yes;No;existing credits paid back duly till now;repairs;unknown/no savings account;>=7;male: single;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;1
0;Good;2171;21,71;12;29;2;2;1;1;0;1;0;2;3;0;1;0;0;0;2;0;1;2;No;Yes;No;existing credits paid back duly till now;radio/TV;<100;<1;female;female;none;car or other;bank;own;skilled employee/official;0
0;Good;1007;10,07;12;22;4;1;1;1;0;1;2;2;0;3;2;3;1;0;0;2;1;2;No;Yes;[0, 200);existing credits paid back duly till now;car (new);>=1000;[1,4);male: married/widowed;male;none;real estate;none;own;skilled employee/official;1
1;Bad;1819;18,19;36;37;4;4;1;1;1;1;0;2;6;0;2;2;1;0;3;1;2;2;Yes;Yes;No;existing credits paid back duly till now;education;<100;[1,4);male: single;male;none;unknown/no property;stores;for free;skilled employee/official;1
0;Good;2394;23,94;36;25;4;4;1;1;0;1;0;2;3;4;2;0;0;0;2;2;1;2;No;Yes;No;existing credits paid back duly till now;radio/TV;unknown/no savings account;[1,4);female;female;none;car or other;none;own;skilled employee/official;0
0;Good;8133;81,33;36;30;1;2;1;1;0;1;0;2;1;0;2;0;0;0;1;0;1;2;No;Yes;No;existing credits paid back duly till now;car (used);<100;[1,4);female;female;none;building society savings agreement/life insurance;bank;own;skilled employee/official;1
0;Good;730;7,3;7;46;4;2;2;1;1;1;0;4;3;4;4;2;1;0;1;2;0;1;Yes;Yes;No;critical account/other credits existing (not at this bank);radio/TV;unknown/no savings account;>=7;male: single;male;none;building society savings agreement/life insurance;none;rent;unskilled, resident;0
0;Good;1164;11,64;8;51;3;4;2;2;1;1;1;4;9;0;4;2;1;0;3;0;2;3;Yes;Yes;<0;critical account/other credits existing (not at this bank);others;<100;>=7;male: single;male;none;unknown/no property;bank;for free;management/self-employed/highly qualified employee/officer;0
0;Good;5954;59,54;42;41;2;1;2;1;0;1;2;4;8;0;3;0;0;0;0;0;1;1;No;Yes;[0, 200);critical account/other credits existing (not at this bank);business;<100;[4,7);female;female;none;real estate;bank;own;unskilled, resident;1
1;Bad;1977;19,77;36;40;4;4;1;1;1;1;1;2;6;4;4;2;1;0;3;2;1;3;Yes;Yes;<0;existing credits paid back duly till now;education;unknown/no savings account;>=7;male: single;male;none;unknown/no property;none;own;management/self-employed/highly qualified employee/officer;0
0;Good;1526;15,26;12;66;4;4;2;1;0;1;1;4;1;0;4;2;1;0;3;2;2;3;No;Yes;<0;critical account/other credits existing (not at this bank);car (used);<100;>=7;male: single;male;none;unknown/no property;none;for free;management/self-employed/highly qualified employee/officer;1
1;Bad;3965;39,65;42;34;4;3;1;1;0;1;1;2;3;0;1;2;1;0;2;2;1;2;No;Yes;<0;existing credits paid back duly till now;radio/TV;<100;<1;male: single;male;none;car or other;none;own;skilled employee/official;1
0;Good;4771;47,71;11;51;2;4;1;1;0;1;2;3;3;0;3;2;1;0;1;2;1;2;No;Yes;[0, 200);delay in paying off in the past;radio/TV;<100;[4,7);male: single;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;1
0;Good;9436;94,36;54;39;2;2;1;2;0;1;0;0;1;4;2;2;1;0;1;2;1;1;No;Yes;No;no credits taken/all credits paid back duly;car (used);unknown/no savings account;[1,4);male: single;male;none;building society savings agreement/life insurance;none;own;unskilled, resident;1
0;Good;3832;38,32;30;22;2;1;1;1;0;1;2;2;2;0;1;3;1;0;1;2;1;2;No;Yes;[0, 200);existing credits paid back duly till now;furniture/equipment;<100;<1;male: married/widowed;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;1
1;Bad;5943;59,43;24;44;1;1;2;1;1;1;0;2;3;4;1;0;0;0;2;2;1;2;Yes;Yes;No;existing credits paid back duly till now;radio/TV;unknown/no savings account;<1;female;female;none;car or other;none;own;skilled employee/official;0
0;Good;1213;12,13;15;47;4;3;1;1;1;1;0;2;3;2;4;2;1;0;1;1;1;2;Yes;Yes;No;existing credits paid back duly till now;radio/TV;[500,1000);>=7;male: single;male;none;building society savings agreement/life insurance;stores;own;skilled employee/official;0
0;Good;1568;15,68;18;24;3;4;1;1;0;1;0;2;8;1;2;0;0;0;1;2;0;1;No;Yes;No;existing credits paid back duly till now;business;[100,500);[1,4);female;female;none;building society savings agreement/life insurance;none;rent;unskilled, resident;1
0;Good;1755;17,55;24;58;4;4;1;1;1;1;1;2;9;0;4;0;0;2;0;2;1;1;Yes;Yes;<0;existing credits paid back duly till now;others;<100;>=7;female;female;guarantor;real estate;none;own;unskilled, resident;0
0;Good;2315;23,15;10;52;3;4;1;1;0;1;1;2;3;0;4;2;1;0;0;2;1;1;No;Yes;<0;existing credits paid back duly till now;radio/TV;<100;>=7;male: single;male;none;real estate;none;own;unskilled, resident;0
0;Good;1412;14,12;12;29;4;2;2;1;1;1;0;4;8;0;2;0;0;2;0;2;1;3;Yes;Yes;No;critical account/other credits existing (not at this bank);business;<100;[1,4);female;female;guarantor;real estate;none;own;management/self-employed/highly qualified employee/officer;1
0;Good;1295;12,95;18;27;4;1;2;1;0;1;2;4;2;0;1;0;0;0;1;2;1;2;No;Yes;[0, 200);critical account/other credits existing (not at this bank);furniture/equipment;<100;<1;female;female;none;building society savings agreement/life insurance;none;own;skilled employee/official;0
1;Bad;12612;126,12;36;47;1;4;1;2;1;1;2;2;6;1;2;2;1;0;3;2;2;2;Yes;Yes;[0, 200);existing credits paid back duly till now;education;[100,500);[1,4);male: single;male;none;unknown/no property;none;for free;skilled employee/official;0
0;Good;2249;22,49;18;30;4;3;1;2;1;1;1;2;0;1;3;2;1;0;2;2;1;3;Yes;Yes;<0;existing credits paid back duly till now;car (new);[100,500);[4,7);male: single;male;none;car or other;none;own;management/self-employed/highly qualified employee/officer;1
1;Bad;1108;11,08;12;28;4;3;2;1;0;1;1;0;5;0;3;2;1;0;0;2;1;2;No;Yes;<0;no credits taken/all credits paid back duly;repairs;<100;[4,7);male: single;male;none;real estate;none;own;skilled employee/official;0
0;Good;618;6,18;12;56;4;4;1;1;0;1;0;4;3;0;4;2;1;0;0;2;1;2;No;Yes;No;critical account/other credits existing (not at this bank);radio/TV;<100;>=7;male: single;male;none;real estate;none;own;skilled employee/official;1
0;Good;1409;14,09;12;54;4;3;1;1;0;1;1;4;1;0;4;2;1;0;0;2;1;2;No;Yes;<0;critical account/other credits existing (not at this bank);car (used);<100;>=7;male: single;male;none;real estate;none;own;skilled employee/official;0
1;Bad;797;7,97;12;33;4;3;1;2;0;1;0;4;3;4;4;0;0;0;1;0;1;1;No;Yes;No;critical account/other credits existing (not at this bank);radio/TV;unknown/no savings account;>=7;female;female;none;building society savings agreement/life insurance;bank;own;unskilled, resident;1
0;Good;3617;36,17;24;20;4;4;2;1;0;1;3;4;2;4;4;2;1;1;3;2;0;2;No;Yes;>=200;critical account/other credits existing (not at this bank);furniture/equipment;unknown/no savings account;>=7;male: single;male;co-applicant;unknown/no property;none;rent;skilled employee/official;1
0;Good;1318;13,18;12;54;4;4;1;1;1;1;2;2;0;3;4;2;1;0;0;2;1;2;Yes;Yes;[0, 200);existing credits paid back duly till now;car (new);>=1000;>=7;male: single;male;none;real estate;none;own;skilled employee/official;1
1;Bad;15945;159,45;54;58;3;4;1;1;1;1;2;0;8;0;1;2;1;0;3;2;0;2;Yes;Yes;[0, 200);no credits taken/all credits paid back duly;business;<100;<1;male: single;male;none;unknown/no property;none;rent;skilled employee/official;0
0;Good;2012;20,12;12;61;4;2;1;1;0;1;0;4;6;4;3;0;0;0;2;2;1;2;No;Yes;No;critical account/other credits existing (not at this bank);education;unknown/no savings account;[4,7);female;female;none;car or other;none;own;skilled employee/official;0
0;Good;2622;26,22;18;34;4;4;1;1;0;1;2;2;8;1;2;2;1;0;2;2;1;2;No;Yes;[0, 200);existing credits paid back duly till now;business;[100,500);[1,4);male: single;male;none;car or other;none;own;skilled employee/official;1
0;Good;2337;23,37;36;36;4;4;1;1;0;1;2;4;3;0;4;2;1;0;0;2;1;2;No;Yes;[0, 200);critical account/other credits existing (not at this bank);radio/TV;<100;>=7;male: single;male;none;real estate;none;own;skilled employee/official;0
0;Good;7057;70,57;20;36;3;4;2;2;1;1;2;3;1;4;3;2;1;0;1;0;0;3;Yes;Yes;[0, 200);delay in paying off in the past;car (used);unknown/no savings account;[4,7);male: single;male;none;building society savings agreement/life insurance;bank;rent;management/self-employed/highly qualified employee/officer;0
0;Good;1469;14,69;24;41;4;4;1;1;0;1;0;2;0;1;4;3;1;0;0;2;0;1;No;Yes;No;existing credits paid back duly till now;car (new);[100,500);>=7;male: married/widowed;male;none;real estate;none;rent;unskilled, resident;0
0;Good;2323;23,23;36;24;4;4;1;1;0;1;2;2;3;0;3;2;1;0;2;2;0;2;No;Yes;[0, 200);existing credits paid back duly till now;radio/TV;<100;[4,7);male: single;male;none;car or other;none;rent;skilled employee/official;1
0;Good;932;9,32;6;24;3;2;1;1;0;1;0;3;3;0;2;0;0;0;0;2;1;2;No;Yes;No;delay in paying off in the past;radio/TV;<100;[1,4);female;female;none;real estate;none;own;skilled employee/official;1
0;Good;1919;19,19;9;35;4;3;1;1;1;1;2;4;2;0;3;2;1;0;2;2;0;2;Yes;Yes;[0, 200);critical account/other credits existing (not at this bank);furniture/equipment;<100;[4,7);male: single;male;none;car or other;none;rent;skilled employee/official;1
0;Good;2445;24,45;12;26;2;4;1;1;1;1;0;2;1;4;1;3;1;0;2;2;0;2;Yes;Yes;No;existing credits paid back duly till now;car (used);unknown/no savings account;<1;male: married/widowed;male;none;car or other;none;rent;skilled employee/official;1
1;Bad;11938;119,38;24;39;2;3;2;2;1;1;2;4;9;0;2;2;1;1;2;2;1;3;Yes;Yes;[0, 200);critical account/other credits existing (not at this bank);others;<100;[1,4);male: single;male;co-applicant;car or other;none;own;management/self-employed/highly qualified employee/officer;1
1;Bad;6458;64,58;18;39;2;4;2;2;1;1;0;1;0;0;4;2;1;0;3;0;1;3;Yes;Yes;No;all credits at this bank paid back duly;car (new);<100;>=7;male: single;male;none;unknown/no property;bank;own;management/self-employed/highly qualified employee/officer;0
0;Good;6078;60,78;12;32;2;2;1;1;0;1;2;2;0;0;3;2;1;0;2;2;1;2;No;Yes;[0, 200);existing credits paid back duly till now;car (new);<100;[4,7);male: single;male;none;car or other;none;own;skilled employee/official;0
0;Good;7721;77,21;24;30;1;2;1;1;1;0;1;2;2;4;1;0;0;0;1;2;1;2;Yes;No;<0;existing credits paid back duly till now;furniture/equipment;unknown/no savings account;<1;female;female;none;building society savings agreement/life insurance;none;own;skilled employee/official;0
0;Good;1410;14,1;14;35;1;2;1;1;1;1;2;2;8;2;4;3;1;0;0;2;1;2;Yes;Yes;[0, 200);existing credits paid back duly till now;business;[500,1000);>=7;male: married/widowed;male;none;real estate;none;own;skilled employee/official;0
0;Good;1449;14,49;6;31;1;2;2;2;0;1;2;3;8;1;4;1;1;0;2;0;1;2;No;Yes;[0, 200);delay in paying off in the past;business;[100,500);>=7;male: divorced/separated;male;none;car or other;bank;own;skilled employee/official;1
